id,name,danceability,acousticness,liveness,loudness,speechiness,tempo,key,time_signature,label,language
3ikoCCFiqH0lRwXE58jidG,Dhaga Dhagamaney,0.573,0.0178,0.354,0.787687697,0.0448,89.964,2.0,4.0,Happy,telugu
6FIaAGKucC6rgxpTGNLSBx,Swagatham Krishna,0.367,0.584,0.0891,0.763681204,0.0417,156.031,9.0,4.0,Sad,telugu
1V4hx2szIylOh4rYoPrwlp,AB Yevaro Nee Baby,0.729,0.0561,0.129,0.787625261,0.0545,102.043,7.0,4.0,Happy,telugu
1OwwrQXxEc4INMhteCUHZm,Kodakaa Koteswar Rao,0.757,0.505,0.196,0.81041426,0.287,111.034,7.0,4.0,Surprised,telugu
2DDOQBKGmkv7bPoYF1bELz,Ninnila,0.699,0.505,0.152,0.767208816,0.0298,128.989,6.0,4.0,Surprised,telugu
57MKnLN5IqjuACXBm01saz,Break The Rules,0.766,0.53,0.0565,0.842350076,0.0916,127.961,4.0,4.0,Surprised,telugu
7livrhr8zKME2wfKpSWbp0,Sunona Sunaina,0.777,0.0664,0.209,0.845315768,0.0565,130.088,11.0,4.0,Surprised,telugu
6vI8sSx4J3oa9It51ZzVZC,s,0.597,0.654,0.0924,0.758686355,0.0947,171.985,3.0,4.0,Romantic,telugu
5oM6SPppdOKxg3XCk9v71k,Vinnane Vinnane,0.786,0.19,0.0978,0.84784441,0.0267,100.951,8.0,4.0,Happy,telugu
2c2dNWJodzG6aQMW0imtag,Toliprema,0.467,0.827,0.108,0.787718915,0.0384,125.923,7.0,1.0,Surprised,telugu
4kVsV4GhcNpHSDs6siioM0,Ammayi,0.412,0.66,0.224,0.809696251,0.0323,187.911,5.0,3.0,Romantic,telugu
3e7CUrRaEgSmbk5XxlAgWc,Ney Veyrey,0.24,0.846,0.101,0.747198202,0.0323,78.611,0.0,4.0,Angry,telugu
4GWaSKW0JpQsqsGjiRbiEz,Nanna Nuv Naa Pranam,0.322,0.915,0.114,0.605001093,0.036,92.71,4.0,3.0,Happy,telugu
0ljjmkJocnhXzP62JYNW8p,Evarevaro,0.474,0.762,0.102,0.679393126,0.0396,76.942,10.0,4.0,Angry,telugu
1brtmiixpIAspQgZEQKkLH,Kashmeeru,0.569,0.986,0.137,0.655730028,0.155,120.897,0.0,3.0,Surprised,telugu
5BUtT8DGziwD6l9tA7FjJu,Yaalo Yaalaa,0.272,0.843,0.159,0.639122155,0.0393,71.47,0.0,3.0,Angry,telugu
5e8q9tRKfzMDJuGR7DtJB2,SENIGA CHENLA NILABADI CHETHULIYAVE,0.571,0.166,0.167,0.869291044,0.182,79.946,1.0,4.0,Angry,telugu
3K9O6TqcIMX8plGkzBARiK,We Have Romeo,0.908,0.235,0.0361,0.675241158,0.166,110.036,0.0,4.0,Happy,telugu
3WkFzi4WS4PeJhHMn2Zbnl,Bommanu Geesthey,0.78,0.0742,0.136,0.709299785,0.0301,112.973,2.0,4.0,Surprised,telugu
21d3KE855pG8CFvKRWjlsL,Kaani Ippudu,0.932,0.261,0.067,0.63194206,0.0544,119.999,5.0,4.0,Surprised,telugu
5ykRe2NirQZdJJKArcXOEW,Music Bit,0.678,0.292,0.173,0.609371586,0.0703,95.022,0.0,4.0,Happy,telugu
7jcYdzweHJjcV8Lvk6xuIu,Laalu Dharvaja,0.866,0.144,0.0528,0.676958137,0.194,107.999,4.0,4.0,Happy,telugu
07D0H4cb2rlE0BDhvRtnhP,Nammaka Tappani,0.725,0.13,0.104,0.703056223,0.0457,89.995,9.0,4.0,Happy,telugu
4KDq9bn0wdEbIFQDi1CGgj,Apudo Ipudo,0.88,0.0519,0.0667,0.66837324,0.104,102.986,7.0,4.0,Happy,telugu
0S9j9OAG3KjmBg4j9XzFcC,Radhika,0.758,0.183,0.183,0.827334311,0.119,137.973,11.0,4.0,Sad,telugu
0hY9eA74QrMCJuWEx7fo9y,"Kurchi Madathapetti (From ""Guntur Kaaram"")(Telugu)",0.748,0.625,0.0685,0.786751163,0.129,165.043,0.0,4.0,Romantic,telugu
7KkaBto4aewGt8wl6q6wxH,Vachinde,0.825,0.352,0.0872,0.82536759,0.12,102.98,0.0,4.0,Happy,telugu
03O2vlADdl7X3iAi1nLkqL,Edo Jarugutondi,0.634,0.16,0.145,0.820778572,0.0691,135.066,0.0,4.0,Sad,telugu
3A3vrhAzRGaK92PtFzndjS,Hey Pillagaada,0.643,0.406,0.0973,0.794742921,0.0855,90.003,0.0,4.0,Happy,telugu
0xNiDPK4YdZ51ALxSid0QV,Oosupodu,0.388,0.28,0.267,0.804201917,0.0633,74.464,11.0,4.0,Angry,telugu
6AnTokjUb1JdSwYAgYB2DC,Hey Mister,0.884,0.105,0.443,0.775575188,0.0402,124.982,4.0,4.0,Surprised,telugu
6ummx2ANmvlzDNCvQ84xBg,Fidaa,0.693,0.104,0.403,0.841226235,0.0312,99.996,7.0,4.0,Happy,telugu
4aA2E3GC9NIx5yprmbAjM1,You Rock My World,0.821,0.052,0.367,0.708300815,0.0895,133.022,10.0,4.0,Sad,telugu
7A3HdpivKNGgTW2Bo3udV8,Nuvvunte,0.804,0.022,0.0759,0.657072394,0.0914,97.963,5.0,4.0,Happy,telugu
4s6M8nlOdDmFjKsyGepA1B,O My Brotheru,0.778,0.0514,0.194,0.683201698,0.17,80.082,11.0,4.0,Angry,telugu
2eGp9IyD2SedGK5e3oFB3Q,Thakadimithom,0.952,0.0265,0.0452,0.644054569,0.244,104.992,0.0,4.0,Happy,telugu
4EjO3ELtQkbOBox5adad6a,Feel My Love,0.746,0.0144,0.167,0.725689133,0.0422,99.974,7.0,4.0,Happy,telugu
0osnJEcmFX4tzO9MS8feMn,Aa Ante,0.781,0.0343,0.0826,0.722005432,0.241,102.026,7.0,4.0,Happy,telugu
18TORL6yEYyzbOjCrS8Ipc,Yedhane Koiyakae,0.726,0.449,0.0737,0.753847595,0.05,118.971,2.0,4.0,Surprised,telugu
2bageubuN1HjNZwTNlyh0v,Naaloney Pongaynu,0.714,0.328,0.104,0.740267849,0.0361,114.979,9.0,4.0,Surprised,telugu
5UIPA4TffGlnyDsaqVEc1v,Yegasi Yegasi,0.922,0.0939,0.202,0.784971748,0.0946,104.494,10.0,4.0,Happy,telugu
4rc1WGmRJ2CsHXTmrBu3gH,Monna Kanipinchavu,0.711,0.304,0.0693,0.735366653,0.223,96.921,6.0,4.0,Happy,telugu
2Lu03NYllO5uk4R9gvNZFJ,Oh! Shanthi Shanthi,0.656,0.356,0.137,0.758904879,0.0443,132.867,10.0,4.0,Sad,telugu
5Vhm92XrsXw5SfFYnxxspt,Athey Nanne,0.772,0.467,0.0816,0.67349296,0.0833,133.811,5.0,4.0,Sad,telugu
4dSs0v5rU0KCoZkSiuWZvl,Nidhare Kala,0.752,0.803,0.237,0.71392002,0.0307,115.987,4.0,4.0,Surprised,telugu
1ifMH14KizpUxIdRVyPsSZ,Niluvaddham,0.827,0.16,0.0922,0.72259857,0.123,95.03,2.0,4.0,Happy,telugu
4EztIh7yvgYs9YLCvxT8ku,Something Something,0.688,0.187,0.337,0.743826679,0.314,170.139,2.0,4.0,Romantic,telugu
69PuGOoNWxd2hM0tsrCa2O,Ghal Ghal,0.847,0.142,0.372,0.728842132,0.119,101.986,2.0,4.0,Happy,telugu
4b4xkbpRpA8jHbP8GVLYWR,Chandrullo Unde,0.814,0.0771,0.0836,0.701807511,0.0698,115.031,2.0,4.0,Surprised,telugu
3Gmq2pQZNo5TqrobE10WgA,Pari Poke Pitta,0.955,0.113,0.247,0.748446914,0.151,127.993,2.0,4.0,Surprised,telugu
6OJemp4sHmpogO2ieTATsq,Padam Kadala,0.79,0.687,0.103,0.687915587,0.0623,94.998,1.0,4.0,Happy,telugu
4FexaCwCrxQ9OErHZiLlWh,Adirey Adirey,0.881,0.171,0.231,0.765335748,0.171,101.996,6.0,4.0,Happy,telugu
4oDLTpHhYT61aV0RscA9rs,Silakemo,0.684,0.24,0.133,0.786438985,0.405,103.227,8.0,3.0,Happy,telugu
29aG6LSPJtU5yPDFYEvVfi,Andala Chukkala,0.893,0.519,0.123,0.693347485,0.0638,129.958,7.0,4.0,Surprised,telugu
6adrkXOmPex66DvtZmsv3R,Maar Maar,0.799,0.15,0.0659,0.760340898,0.184,77.505,10.0,4.0,Angry,telugu
5umi7RqYbqfzuHSwz8oaQj,O Manasa,0.834,0.165,0.039,0.729466488,0.0616,129.96,7.0,4.0,Surprised,telugu
5Xsq4Waw2KeRPpfrAoXmMT,Anaganaga Kadala,0.718,0.227,0.201,0.692317298,0.0835,82.991,10.0,4.0,Angry,telugu
3TeGBS4boert6YCIkhUaDI,Gongoora Thota,0.747,0.148,0.0676,0.726594449,0.226,95.064,10.0,4.0,Happy,telugu
7vzsGnsgEAvpR7G0oYDPfV,Dekho Dekho Gabbar Singh,0.903,0.0828,0.219,0.88415072,0.119,100.005,9.0,4.0,Happy,telugu
14I31bbtEZVADFi1uCcxcu,Akasam Ammayaithe,0.796,0.4,0.212,0.869790529,0.0524,115.976,5.0,4.0,Surprised,telugu
5slxvWwJhpvXf5yn06eI86,Mandu Baabulam,0.753,0.47,0.154,0.858489683,0.35,169.797,1.0,4.0,Romantic,telugu
2x2W7PnBelMmLZBV6YqRFQ,Pillaa,0.744,0.549,0.0418,0.904879343,0.101,94.214,0.0,4.0,Happy,telugu
70aYyuwZG2KxnJ5Yw5irTy,Dil Se,0.817,0.242,0.0512,0.910560984,0.0485,94.027,0.0,4.0,Happy,telugu
5fl5pJKjWwJgRkbZfZzyGw,Kevvu Keka,0.672,0.159,0.415,0.920425811,0.168,169.842,7.0,4.0,Romantic,telugu
5gqhfk5hXAFMZZzwiENcVq,Le Le Lele,0.908,0.0142,0.0549,0.731089814,0.0643,119.992,0.0,4.0,Surprised,telugu
6gZmBVAH2qEXqcTXVQBDcD,Chiguraku Chatu,0.764,0.195,0.183,0.701994818,0.0654,94.002,8.0,4.0,Happy,telugu
2RPC9OGiIbFnbo51H0cKRt,Chilakamma Mukkuki,0.758,0.218,0.182,0.680579402,0.142,148.062,2.0,4.0,Sad,telugu
4NugyVw9Of2Z4uyBXf33tX,Chitti Nadumune,0.634,0.0818,0.572,0.718009553,0.0863,179.871,2.0,4.0,Romantic,telugu
7GRBX2LsuIYGPzjZ9ggnES,Emantaro,0.499,0.0923,0.142,0.730590329,0.109,174.131,5.0,4.0,Romantic,telugu
57bRQzh6XEfIU4uGXz1p5j,Killi Killi,0.789,0.184,0.0243,0.775106921,0.165,86.009,2.0,4.0,Angry,telugu
0VcO1SA3oUKl1qHSUc6LxQ,Bombhaat,0.835,0.233,0.13,0.817906534,0.174,97.01,7.0,4.0,Happy,telugu
0T1IavVfIniuiSN6W7uI3V,Miss Sunshine,0.832,0.353,0.103,0.72431555,0.0945,97.991,2.0,4.0,Happy,telugu
7IMijW6lSRUgdHzWXaE2fF,Laggam Time,0.53,0.486,0.0487,0.884494115,0.268,148.617,5.0,4.0,Sad,telugu
6wH2LqRN3AFRyyZqUDsNCt,Freedom,0.674,0.407,0.258,0.891642993,0.103,92.024,9.0,4.0,Happy,telugu
28xt5x1wwoMfVYI9zfIwRx,Oh Sita Hey Rama,0.638,0.585,0.0909,0.59991259,0.045,169.834,6.0,4.0,Romantic,telugu
0gE8ZP2cTXpRDz53bTkpu6,Inthandham,0.669,0.667,0.109,0.656010989,0.059,99.931,4.0,4.0,Happy,telugu
1bxzr3JK05fMTcweGAZUHp,"Chuttamalle (From ""Devara Part 1"")",0.677,0.136,0.161,0.734711079,0.0797,145.56,4.0,3.0,Sad,telugu
2gKNWPBrI2IRBl2RRUtoEb,"Sooseki (From ""Pushpa 2 The Rule"") [TELUGU]",0.785,0.221,0.144,0.74879031,0.0808,95.04,5.0,4.0,Happy,telugu
0kNe3kmRFq7eKVlL15h7nb,Anuvanuvuu,0.228,0.851,0.126,0.686542004,0.0467,178.083,3.0,3.0,Romantic,telugu
0qdiNx11tQtjFCqbko9i2k,"Garam Garam (From ""Saripodhaa Sanivaaram"")",0.589,0.0137,0.0708,0.739924453,0.0482,87.494,10.0,4.0,Angry,telugu
0yR49HoYJsJ27ey9rrtKql,"Oh My Baby (From ""Guntur Kaaram"")(Telugu)",0.881,0.762,0.197,0.780351513,0.0528,115.062,5.0,4.0,Surprised,telugu
4Bb4Vgzp1kAebqI7KnDFPn,Ghallu Ghallu,0.709,0.117,0.582,0.609434021,0.161,91.99,4.0,4.0,Happy,telugu
5kNydYWkUyXh4zVoy8QDmC,"Bhairava Anthem (From ""Kalki 2898 Ad"") (Telugu)",0.654,0.11,0.759,0.86891643,0.0719,154.951,8.0,4.0,Sad,telugu
4WLb2gV1NHlCC6KMjsWVp6,"Aa Rojulu Malli Raavu (From ""Committee Kurrollu"")",0.72,0.753,0.406,0.7238785,0.0334,120.074,2.0,4.0,Surprised,telugu
2WtOJI2Pwk88RAZPeTgMp0,"Reppal Dappul (From ""Mr. Bachchan"")",0.428,0.0692,0.211,0.759997503,0.113,123.022,5.0,3.0,Surprised,telugu
7vLR2TSzHEVUNlKm5dcYpo,"SteppaMaar (From ""Double ISMART"")(Telugu)",0.624,0.0165,0.435,0.777604346,0.233,135.073,1.0,4.0,Sad,telugu
02VVOQId2O83I5hLJ1GFmH,Dai Dai Dhamma,0.856,0.231,0.15,0.677176662,0.133,123.016,0.0,4.0,Surprised,telugu
0ROW5t0PWyBS6k0UizBr6c,"Ullaasam (From ""Saripodhaa Sanivaaram"")",0.715,0.358,0.0486,0.712078169,0.0357,139.934,2.0,4.0,Sad,telugu
6b2WJDzGt5X8dYfpkWtvXW,"Fear Song (From ""Devara Part 1"") [Telugu]",0.642,0.0807,0.118,0.771048606,0.181,180.093,1.0,4.0,Romantic,telugu
538V6gFAnhcLZrg6I8lIMI,"Hungry Cheetah (From ""They Call Him OG"")",0.736,0.436,0.303,0.832859863,0.136,94.975,4.0,4.0,Happy,telugu
30CBQmKZ0fugbhs7ExGT1e,"Gumma (From ""Ambajipeta Marriage Band"")",0.802,0.505,0.132,0.715605782,0.314,156.954,2.0,4.0,Sad,telugu
6EQVXaIi22Ilmkt1Coi9gZ,"Souraa (From ""Bharateeyudu 2"")",0.678,0.244,0.0634,0.754003684,0.093,117.006,4.0,4.0,Surprised,telugu
5bnxMZqd9Kpn9ByHj3Dc9C,"Pushpa Pushpa (From ""Pushpa 2 The Rule"") [TELUGU]",0.819,0.33,0.0825,0.644522836,0.0935,152.054,2.0,4.0,Sad,telugu
1g9V1QE7vbeAx5Xm04DfLi,"Odiyamma (From ""Hi Nanna"") [TELUGU]",0.751,0.615,0.0791,0.730465457,0.153,103.992,5.0,4.0,Happy,telugu
1qgb9TXSQqOHmVj5dBAtFX,Lingi Lingi Lingidi,0.742,0.0122,0.107,0.623044985,0.209,160.138,6.0,4.0,Romantic,telugu
4ooaLueG56Bsq44TUNRgAn,"Poolamme Pilla (From ""HanuMan"") [Telugu]",0.745,0.215,0.0916,0.7617457,0.0816,155.961,5.0,4.0,Sad,telugu
0hujsbFzpm9RjOs4mnVclo,"Samayama (From ""Hi Nanna"")",0.706,0.623,0.0733,0.803639996,0.0445,112.962,9.0,4.0,Surprised,telugu
1JJjHoFLuQQKddOzD8pYsS,Andhamyna Bhamalu,0.75,0.127,0.136,0.698061374,0.308,135.963,10.0,4.0,Sad,telugu
2cDyQDAoP0cPQXzaviXu2f,Vellake,0.652,0.684,0.152,0.727999251,0.0339,147.03,9.0,3.0,Sad,telugu
4wFU6Q4vInTg2HQ2mkko8x,Priya Mithunam (Telugu),0.18,0.917,0.123,0.588892704,0.0389,75.331,7.0,4.0,Angry,telugu
3GCwsB2loRGeUL8oq2Y4TW,Chamkeela Angeelesi,0.871,0.464,0.0461,0.824618362,0.193,95.004,6.0,4.0,Happy,telugu
48CzymfD7NHtc78cwVkbtD,Pulsar Bike,0.794,0.168,0.269,0.889332875,0.0724,129.062,0.0,1.0,Surprised,telugu
59eeV0SIeyd431uyjAWCRe,"Mastaaru Mastaaru (From ""Sir"")(Telugu)",0.594,0.385,0.877,0.715886742,0.0428,91.082,9.0,4.0,Happy,telugu
0X0Y2AnYuIdn9arB8P6EB4,Nenu Nuvvantu,0.743,0.153,0.125,0.691193457,0.0354,91.983,5.0,4.0,Happy,telugu
5lros38FrhzSXgABKnBsb4,"Jinthaak Chithaka (From ""Dhamaka"")",0.899,0.335,0.0293,0.845846471,0.168,109.966,2.0,4.0,Happy,telugu
3eIkuy5Fr7kuQXiro0czUM,Darshana,0.614,0.68,0.0649,0.704898074,0.297,178.17,3.0,3.0,Romantic,telugu
6Vq4ePrJPZ2vU6DXnZGcVD,Pillaa Raa,0.414,0.623,0.229,0.729591359,0.136,185.922,9.0,3.0,Romantic,telugu
5idQ5WN2CK5FeUhRQ4ZvKY,Thattukolede,0.652,0.428,0.131,0.641557144,0.0325,129.985,4.0,4.0,Surprised,telugu
29ffQxBUZLJdN3kiPndB9n,Neeti Mullai (Bit),0.683,0.827,0.137,0.560078669,0.0336,105.049,7.0,4.0,Happy,telugu
1eWooUUh7E796VP86o15BN,Baguntundhi Nuvvu Navvithe,0.76,0.504,0.0957,0.680891581,0.0426,123.959,6.0,4.0,Surprised,telugu
7gVqTSJ4Mr5uKkM9yhQKop,Rooba Rooba,0.843,0.125,0.334,0.689133082,0.0498,103.985,10.0,4.0,Happy,telugu
0WM0NpFIZg6JhgneUyU5tl,Inka Edho,0.64,0.333,0.188,0.757500078,0.0314,92.016,7.0,4.0,Happy,telugu
57zEYntUat0ofbFpoicN26,Uppenantha,0.677,0.185,0.28,0.884306809,0.133,171.956,9.0,4.0,Romantic,telugu
4QMZ6gwFTLk9qOhaQsGIxf,Neeve,0.749,0.111,0.22,0.666219211,0.0389,129.996,2.0,4.0,Surprised,telugu
6WCVnARSUrBrfzod8oAAQ3,Mellaga,0.78,0.153,0.27,0.814066744,0.132,79.977,1.0,4.0,Angry,telugu
2jRAFRpeDnibcHvtDgWRhG,Nuvvu Nuvvu,0.806,0.396,0.0881,0.698997908,0.0356,94.994,1.0,4.0,Happy,telugu
6Yqw4HtJuFXleJtgzYXWzT,Endhuko Emo,0.827,0.0577,0.178,0.805544282,0.0357,91.006,7.0,4.0,Happy,telugu
4AuRsGcSsNqslLywUCWhAG,Idhedho Bagundhe,0.845,0.315,0.165,0.758093216,0.0692,117.987,11.0,4.0,Surprised,telugu
3YB09zhSWO8mmESr8NUV0n,Manasa,0.863,0.328,0.0831,0.750413636,0.0417,100.012,9.0,4.0,Happy,telugu
5haAVKCKAfb7IYLplcao0h,Nijanga Nenena,0.714,0.845,0.0833,0.605438142,0.0483,129.935,7.0,4.0,Surprised,telugu
7m64tTau2Rh6hzVDA1oV6K,Evare Nuvvu,0.813,0.122,0.104,0.770954953,0.0363,119.96,10.0,4.0,Surprised,telugu
1C2gJaINSao4GEXySYopiS,Violin Song,0.806,0.0827,0.164,0.833671526,0.0627,121.96,0.0,4.0,Surprised,telugu
5kmh1Zf0hYESmxwDI1IosB,Gundu Sudhi,0.67,0.564,0.303,0.754409515,0.0416,134.87,4.0,4.0,Sad,telugu
1VDDoa82Oktn7FDPKBcsw8,O Madhu,0.836,0.489,0.164,0.833484219,0.0553,94.984,11.0,4.0,Happy,telugu
0hwlEWBrraTWI9PTNzG0RJ,Cheliya,0.629,0.00781,0.0461,0.816439297,0.0879,100.917,4.0,4.0,Happy,telugu
3geKpJNdURFqbA8OqaR7vr,Attu Nuvve,0.661,0.604,0.0881,0.823619393,0.0939,164.033,2.0,4.0,Romantic,telugu
4wUOdPcYoqYZGM2wSdoLQu,Nee Yadalo Naaku,0.871,0.0301,0.11,0.756969375,0.033,105.034,0.0,4.0,Happy,telugu
37I2SLeJcpkQpKFMLJt550,Karige Loga,0.686,0.102,0.119,0.839509256,0.0993,92.02,0.0,4.0,Happy,telugu
5ouWiqJMTafavTori4HePx,Hrudayam Ekkadunnadi,0.823,0.14,0.0721,0.785190273,0.07,96.997,9.0,4.0,Happy,telugu
1GIX3Z78P6PJg8srUYAqjF,Nenu Nenuga,0.666,0.358,0.124,0.682140293,0.0429,81.503,2.0,3.0,Angry,telugu
7wFL4hNlhotHNU6qZi9bHR,Ee Hridayam,0.611,0.3,0.0471,0.753160803,0.0415,85.986,7.0,4.0,Angry,telugu
3LYt0b1ljHUYoG5YL2WwWP,Ye Chilipi,0.638,0.0181,0.422,0.736771454,0.0291,109.973,9.0,4.0,Happy,telugu
3E8mVTnCMmXJNq6Pbcfkp7,Emaindhi Eevela,0.799,0.178,0.19,0.790559735,0.0276,119.994,7.0,4.0,Surprised,telugu
